v1,v2,v3,v4,v5,v6,v7,v8,leaf
1.146727936,2.233629057,4.228431967,1.106699829,5.437830432,5.26434133,3.223177674,3.169353874,red
3.676886466,4.520687312,2.309629004,4.781452294,4.207986858,5.539535205,4.336412098,3.246643067,red
0.730671239,1.426259939,3.266700454,3.910250081,5.668671396,5.136385867,4.398676035,4.881975807,red
1.950790466,3.145987046,4.297087763,3.315089346,5.397321665,5.87601012,3.90103846,5.305070561,red
4.323009881,5.320533529,4.945438622,2.263959802,5.745575327,5.26777712,3.392571039,3.544265049,red
3.442040309,4.624080943,4.316620038,3.397026333,4.549192353,5.179257994,4.757289797,3.957688531,red
4.885752285,5.800018027,5.959375798,2.303666187,5.474226008,5.732466628,4.047128745,4.398946385,red
4.738377849,5.955221111,4.601720098,2.217812425,4.788719627,5.117031706,3.075869101,4.804909906,red
0.5028284,1.461117782,4.109846237,2.056751995,4.685867706,5.883381085,5.336805316,5.09525639,red
3.749556239,4.798318843,4.578087575,1.602584717,4.471148373,5.087276986,5.548831978,4.932787829,red
2.152420415,3.28198331,3.548693305,4.773617588,5.139913037,5.943326676,3.64142604,3.381960784,red
0.583719333,1.747386325,5.03042705,2.47152983,4.389156445,5.554822075,4.433333079,3.895822574,red
1.517653375,2.465402003,5.263226594,2.30091694,4.214565962,5.866489603,4.993020623,5.527897884,red
4.66413564,5.904740498,4.162852387,5.020715033,4.062402706,5.5981297,4.974081975,4.502645184,red
2.053400198,3.013573912,4.994389174,1.098631801,4.220540441,5.867928228,4.958753769,5.658420127,red
3.575426461,4.850288305,5.766669412,2.067523911,5.039544582,5.717755733,5.425214364,4.523100541,red
3.966506584,5.304868728,3.680491844,4.972213872,4.107031697,5.038532017,4.84356829,3.356900653,red
0.406519464,1.57896127,2.394893969,3.252364611,5.099897298,5.1508219,5.584533735,3.51986245,red
1.946135074,3.436580187,2.066783597,3.280229648,5.936590046,5.821388837,5.811990981,4.659641476,red
0.986823792,2.090718111,3.774432617,1.341316015,4.03613782,5.640012359,3.461313828,3.195132886,red
1.107220677,1.961610754,4.47142011,2.41242159,5.258943862,5.71868883,4.209091944,3.447813466,red
1.744231538,2.499640062,3.507935867,4.455861623,5.789149072,5.28062478,3.457520458,3.399034385,red
1.044350364,1.88166496,2.896283628,2.76985773,4.263328022,5.436044007,4.875124379,4.369894188,red
3.769874862,5.054889595,3.179213191,1.528618861,5.320498345,5.086245145,3.252335555,4.611277283,red
3.526446285,4.584689251,2.441515413,5.046862058,4.899274892,5.470899037,3.361315496,5.80713354,red
1.442346604,1.992566866,4.82679642,1.151855242,4.398756048,5.342204231,4.917181834,5.128265162,red
0.305047382,1.381022198,5.464805338,5.890418776,5.496163721,5.877619794,4.830777028,5.218484271,red
0.026770517,1.061355713,5.242499701,3.22780244,5.696305076,5.56152321,5.01220791,3.455777137,red
3.0515275,4.249177268,4.078971624,3.989470838,5.992956939,5.370912532,4.260179364,4.485724938,red
0.73001503,1.820211971,2.445166077,1.520299653,5.964829566,5.868600387,4.915767399,5.158849036,red
1.17029241,2.345892256,5.345478731,2.540016289,5.576396494,5.86351654,3.904261052,4.439537964,red
0.868719156,1.739324603,5.420831152,2.820214684,5.297467808,5.232816067,4.246458137,4.018228345,red
1.624384411,2.781934093,2.485365995,1.31440818,5.337825939,5.223513788,2.801053518,5.231055621,red
1.123132326,2.142893804,2.44343516,5.660108918,5.438945185,5.314054761,3.757955027,3.231358424,red
3.051889493,4.02350862,4.454904702,1.974374538,4.476858753,5.162534827,3.93994558,3.565821462,red
0.437547594,1.791353882,3.442232464,1.623802881,4.575730042,5.080815142,5.590807908,4.220294019,red
1.483992434,2.616287794,5.656687105,2.227998602,5.648716819,5.377877825,3.732669097,5.828656158,red
3.768197918,4.473353379,2.669549679,5.752019485,5.559186586,5.194052133,5.743727589,5.322827768,red
1.094188562,2.241263777,5.230166291,5.086506125,5.870542193,5.620856613,5.003050635,4.571329429,red
2.468891108,2.766456369,3.698835022,2.065240285,4.633477836,5.234003317,5.355782922,3.704858288,red
4.603204416,5.410335052,3.255016773,5.667709259,5.567846168,5.726779149,4.311279863,5.453212332,red
1.30587416,2.346346093,3.370954021,3.835220811,4.076237983,5.513640303,2.907725596,3.740089502,red
2.224384559,3.078807621,3.380151316,3.621974601,5.904802148,5.101601661,2.653141791,5.045447451,red
1.56150907,2.546871059,4.45560382,3.597483439,5.353705283,5.199840561,2.865410665,5.948744933,red
0.981268256,2.056948592,4.627546588,3.093167044,4.609851791,5.155016967,4.810200493,4.630860314,red
4.64990821,6.131994824,4.312624327,3.722473282,4.609640581,5.77202505,2.945798947,5.505424816,red
2.180395051,2.970353243,2.270908172,4.274827884,5.268333388,5.998040895,3.962298415,3.539992312,red
0.27188824,1.078052679,2.807668019,1.288998489,4.999031425,5.003089347,3.729417492,3.820142206,red
1.618557121,3.06742823,3.588888618,1.74476482,5.637728347,5.516733254,4.500066141,5.886748773,red
1.259683947,2.367057921,2.560496348,1.324826972,4.449224061,5.103522904,5.341467997,4.529755269,red
3.672942424,4.882978304,3.359738969,3.315120875,4.518051172,5.65717257,4.789896817,5.727509843,red
0.153375575,1.18920197,5.174863074,1.870955591,5.535591924,5.82061873,5.623415309,4.518574364,red
0.56554913,1.452087591,2.796716737,5.678032511,4.008884657,5.207375159,3.222300311,3.585279521,red
3.133373915,4.319551856,5.930708009,2.014446757,5.385630266,5.940642035,2.786083179,3.728745353,red
2.406963858,3.098437863,3.022762444,4.513551731,4.115163932,5.671895282,3.050850536,3.920097635,red
4.337967995,5.453282779,3.05370068,2.946854963,5.609865182,5.799638031,4.042991027,3.671262916,red
1.019721454,2.027763205,5.751474814,2.134875631,5.24597472,5.438325617,2.939590177,5.40991665,red
3.250734145,4.447086896,3.430151151,3.535046478,5.512171584,5.59953542,4.361216523,5.28174324,red
4.155792092,5.042122901,3.818911331,2.627424173,4.5059267,5.074262554,3.606375124,5.043852624,red
4.491018665,5.032644285,2.414217762,1.024113456,4.776354063,5.587018099,2.960584645,4.551992267,red
3.896473507,4.602122636,2.786429378,1.957732928,5.880271861,5.860732301,3.250026418,5.305287673,red
4.600897607,5.199742727,3.920496637,1.056234367,5.04466697,5.12572356,2.810625376,5.141304363,red
3.583232728,4.460805648,5.046988775,3.993213028,4.953485356,5.924923341,3.895705586,4.274877133,red
0.52487848,1.265546026,3.666403399,3.070807335,4.87305726,5.869251106,5.893874838,5.190894424,red
0.463194083,1.37813237,3.857719506,1.438446256,5.684542536,5.029086346,4.369062062,4.769473722,red
0.558355966,1.053724036,4.177988859,5.616007318,4.362528759,5.458120724,5.330286858,4.180095265,red
1.397711931,1.786240657,5.168683784,1.653624424,4.052299925,5.670274754,2.722846948,5.849244967,red
4.179305336,5.175047422,3.419221032,2.956449659,5.796141141,5.023224423,5.644167713,4.089448599,red
2.529669438,3.635163147,5.546464368,2.107776496,5.312839615,5.227117225,5.913900875,4.196327875,red
0.025576974,0.769245894,2.167109119,4.635936947,4.047400783,5.509001401,4.127101415,5.697918191,red
4.807731642,5.331357944,4.858678547,3.982757168,4.297402157,5.930155665,2.95594283,3.606545974,red
3.776261567,4.791527363,3.838393677,2.886320322,5.075835791,5.419886297,4.153714944,4.552766929,red
4.883107626,5.924855422,4.857729322,3.529817458,4.458081458,5.834066131,4.409012191,4.305427415,red
3.976169295,4.823712788,4.224759211,1.635624954,4.273785037,5.882476057,5.839430571,5.178817721,red
3.839377086,4.6364274,2.973796401,1.739696028,5.898253845,5.350205224,4.913950215,5.256454724,red
1.53088911,2.103009037,3.469640991,2.4158822,5.790929944,5.591918207,2.943198633,4.026725702,red
2.946263037,3.86625129,2.133510985,5.09177507,5.383563986,5.794974344,4.703544768,3.277110535,red
2.164448113,3.002553478,3.545752139,3.071552279,4.349816715,5.241408448,3.987774721,5.306794574,red
4.434287525,5.608002951,3.654136401,4.024286322,4.874961503,5.173271579,5.89177365,3.934709941,red
1.528463929,2.58927842,2.880553521,3.587960109,4.359515748,5.264448681,5.824007014,5.596145444,red
3.759664095,5.228867561,4.851068218,5.392673691,4.022996612,5.459715646,5.517501148,5.014957778,red
4.268029729,5.624701778,2.277237252,3.821102196,5.265840392,5.805182846,3.797253042,4.639775801,red
1.002734973,1.783430774,5.732062823,4.599014129,4.755226142,5.886846785,5.259271843,3.518147687,red
0.416373676,1.757771201,2.459848003,1.108572479,5.666125681,5.440917372,5.813873026,3.847895927,red
1.640086444,2.624243626,3.399703487,1.235752933,4.012593428,5.281153609,4.271353041,5.512289344,red
3.304108538,4.156767697,3.339555055,1.003598452,5.191108634,5.931064805,2.613342426,3.831858815,red
1.289253167,2.422483204,2.950914557,5.278034627,4.82389358,5.79598841,2.697245837,5.067712539,red
0.438195923,0.961385032,5.982130947,4.034079189,4.646003723,5.051754384,3.417001151,5.499229948,red
0.061088032,0.795341743,5.51244658,3.607095665,4.073266898,5.277785884,4.390930766,5.528417755,red
0.136148081,1.085818755,4.967682095,5.341546847,5.133819191,5.771129118,4.311743022,5.947818091,red
4.269776702,4.967854408,4.327363605,4.86261692,5.404555285,5.873602515,4.60397536,5.137184777,red
0.266437604,1.328643594,4.970333231,1.403307409,4.505773395,5.982534727,3.4229544,5.527092628,red
1.301073339,2.571708354,3.720287104,3.657164703,5.511610368,5.92909565,5.909881268,5.666600386,red
1.362106409,2.273853402,4.132313669,5.11845492,4.430926729,5.70136381,3.305091844,4.617015967,red
2.830843955,3.697543424,4.01789002,4.388462242,4.623843781,5.803328613,4.383353373,5.746213204,red
3.325396354,4.315888699,2.25265052,5.846450206,4.682261777,5.221234045,5.207954365,5.092524827,red
4.547218593,5.669617272,4.270900995,1.021128896,4.872609928,5.141001146,3.950676803,3.239100139,red
2.364217507,3.451793587,5.559999501,4.674558316,4.380832615,5.121064109,4.07295266,5.397769069,red
0.960661989,2.006326906,3.866430806,5.00732186,4.46339714,5.42005366,3.692324569,4.148577149,red
4.716048659,5.585471846,5.205499666,3.931683262,4.514953301,5.116712138,3.693533648,5.373074296,red
1.988792047,2.594575958,2.398320238,1.873009162,5.731361481,5.617076753,3.726793734,5.143071153,red
1.064297141,1.939040252,2.264675608,3.41475439,5.11036523,5.103051816,3.128177032,3.707041806,red
2.347562486,3.044598292,3.287627353,4.261917175,4.930244503,5.675960905,5.53613996,5.703120645,red
3.847822344,4.910196563,4.417011506,2.421646202,4.906971116,5.067933305,5.301347317,4.096138109,red
1.916238251,3.329310071,2.079880168,4.23395638,4.657121967,5.035477602,5.786294885,5.290944009,red
2.647208123,3.456367693,5.288643565,5.537345118,5.533919767,5.05434548,4.825399174,5.402977052,red
1.201005226,2.288035371,2.973103803,4.662384914,5.78567301,5.848989216,4.945709122,3.757690408,red
2.372780351,3.231033376,3.344431527,4.942351478,4.524851842,5.877202002,3.946498542,3.162752321,red
4.233789915,5.328418164,5.8877513,4.12970773,4.386974102,5.602307466,4.625451102,3.349156046,red
0.389678738,1.301253212,2.855054562,1.789995172,5.667414344,5.61018166,5.357498272,3.675617642,red
0.352587686,1.015957327,5.278416001,1.508138985,4.432193261,5.01938891,3.338736885,5.965642911,red
